bot,verified,geo_enabled,default_profile,has_description,len_en,followers,friends,listed_count,likes,tweets,cat_followers,cat_friends,cat_listed_count,cat_likes,cat_tweets
1,0.0,0.0,1.0,1,0,41,168,0,186,1162,2,3,1,3,4
1,0.0,0.0,1.0,0,1,12,68,0,32,835,2,2,1,2,3
1,0.0,1.0,0.0,1,0,904,169,1,2855,9628,3,3,1,4,4
0,0.0,0.0,1.0,1,1,310,363,1,14772,7277,3,3,1,5,4
1,0.0,0.0,1.0,0,0,338,662,3,3115,4321,3,3,1,4,4
0,0.0,1.0,1.0,1,0,323,1556,11,13515,14723,3,4,2,5,5
1,0.0,0.0,1.0,0,0,48,97,0,7879,3494,2,2,1,4,4
0,0.0,1.0,1.0,1,0,595,1759,1,7555,6938,3,4,1,4,4
1,0.0,0.0,1.0,0,0,78,16,0,1426,1606,2,2,1,4,4
0,0.0,1.0,0.0,1,0,355,457,7,31861,22023,3,3,1,5,5
1,0.0,0.0,1.0,1,0,449,512,3,21706,27131,3,3,1,5,5
1,0.0,0.0,0.0,0,0,751,828,1,4826,9194,3,3,1,4,4
1,0.0,0.0,1.0,1,0,6037,5330,1,4656,5296,4,4,1,4,4
1,0.0,1.0,0.0,1,0,959,849,13,4344,15373,3,3,2,4,5
0,0.0,0.0,0.0,1,0,201,191,3,48,6781,3,3,1,2,4
1,0.0,0.0,1.0,0,0,340,519,2,13095,23587,3,3,1,5,5
0,0.0,1.0,0.0,1,0,767,599,3,15252,9473,3,3,1,5,4
0,0.0,0.0,1.0,1,1,262,235,0,3700,3750,3,3,1,4,4
1,0.0,0.0,1.0,0,0,128,416,0,8527,15069,3,3,1,4,5
1,0.0,0.0,1.0,0,0,634,627,3,22267,49285,3,3,1,5,5
0,0.0,1.0,1.0,1,0,717,1239,8,7493,8339,3,4,1,4,4
0,0.0,0.0,1.0,1,0,455,221,29,2657,7740,3,3,2,4,4
0,0.0,1.0,0.0,1,0,5689,2150,268,101741,89502,4,4,3,5,5
0,0.0,0.0,1.0,1,0,378,316,0,18557,19235,3,3,1,5,5
1,0.0,0.0,1.0,1,1,175,1,4,15,40035,3,1,1,2,5
0,0.0,0.0,0.0,1,0,108,121,0,12834,7930,3,3,1,5,4
0,0.0,0.0,0.0,1,0,3793,1684,65,9489,51093,4,4,2,4,5
0,0.0,0.0,0.0,1,0,3904,2628,43,126170,91466,4,4,2,5,5
0,0.0,0.0,1.0,1,0,203,53,0,37285,9789,3,2,1,5,4
1,0.0,0.0,0.0,1,0,367,1112,4,8193,12027,3,4,1,4,5
0,0.0,1.0,1.0,1,0,413,807,4,44743,14899,3,3,1,5,5
0,0.0,1.0,0.0,1,1,507,4806,13,63712,21507,3,4,2,5,5
1,0.0,0.0,1.0,1,0,301,863,0,546,3938,3,3,1,3,4
0,0.0,0.0,1.0,1,0,94,241,1,6679,4081,2,3,1,4,4
1,0.0,0.0,0.0,0,0,414,328,4,3833,8112,3,3,1,4,4
0,0.0,0.0,1.0,0,1,8,8,0,199,313,1,1,1,3,3
0,0.0,0.0,0.0,1,0,403,632,1,920,370,3,3,1,3,3
1,0.0,0.0,1.0,0,1,26,60,0,21,4429,2,2,1,2,4
1,0.0,0.0,1.0,0,0,435,618,3,9185,10888,3,3,1,4,5
0,0.0,1.0,1.0,1,0,250,195,1,12813,2787,3,3,1,5,4
1,0.0,0.0,1.0,0,0,475,144,1,4685,15247,3,3,1,4,5
1,0.0,0.0,1.0,1,0,1412,1244,1,5808,3447,4,4,1,4,4
0,0.0,0.0,0.0,1,0,603,284,8,73820,29162,3,3,1,5,5
1,0.0,0.0,1.0,0,1,15,42,0,168,352,2,2,1,3,3
1,0.0,0.0,1.0,0,0,701,1056,3,7006,19814,3,4,1,4,5
0,0.0,1.0,1.0,0,0,217,2064,1,54256,53928,3,4,1,5,5
1,0.0,0.0,1.0,0,0,158,59,0,2100,4645,3,2,1,4,4
1,0.0,0.0,1.0,1,0,2,153,0,3594,3032,1,3,1,4,4
1,0.0,0.0,1.0,0,0,144,69,0,2137,4766,3,2,1,4,4
1,0.0,0.0,1.0,0,0,289,381,1,1201,6057,3,3,1,4,4
1,0.0,1.0,0.0,1,0,419,511,0,1652,9448,3,3,1,4,4
1,0.0,0.0,1.0,0,0,514,0,2,5792,11040,3,1,1,4,5
0,0.0,0.0,1.0,0,0,5,13,0,123,4090,1,2,1,3,4
